,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
0,"300 East 75th Street, Apt 29F","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2654.0,1.0,0
1,"235 West 48th Street, Apt 10C","Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,3021.0,1.0,1
2,"330 West 39th Street, Apt 5K","Garment District, Midtown Manhattan, Manhattan",Garment District,Midtown Manhattan,Manhattan,4579.0,2.0,2
3,"333 East 56th Street, Apt 2D","Sutton Place, Midtown East, Midtown Manhattan, Manhattan",Sutton Place,Midtown East,Manhattan,3112.0,1.0,1
4,First ave,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,3300.0,1.0,1
5,West 175th Street,"Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2195.0,1.0,2
6,First ave ,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,3400.0,1.0,2
7,Fourth Avenue,"Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,3800.0,1.0,1
8,"308 Mott Street, Apt 3RD FLOOR...","NoHo, Downtown Manhattan, Manhattan",NoHo,Downtown Manhattan,Manhattan,2715.0,1.0,1
9,"2 West 16th Street, Apt TOP FL...","Flatiron District, Midtown Manhattan, Manhattan",Flatiron District,Midtown Manhattan,Manhattan,3750.0,1.0,2
10,"2 West 16th Street, Apt G","Flatiron District, Midtown Manhattan, Manhattan",Flatiron District,Midtown Manhattan,Manhattan,2550.0,1.0,1
11,"500 East 77th Street, Apt 317","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2745.0,1.0,0
12,West 136th Street,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,2500.0,1.0,3
13,"867 Dekalb Avenue, Apt 4C","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2750.0,1.0,3
14,E 34th St - Murray Hill/ Kips ...,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,2786.0,1.0,1
15,W 42nd St - Hell's Kitchen/ Hu...,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2875.0,1.0,1
16,"330 East 63rd Street, Apt 7E","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,5450.0,1.0,4
17,"340 West 86th Street, Apt 3F","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2345.0,1.0,1
18,"84-70 129th Street, Apt 5","Kew Gardens, Northeastern Queens, Queens",Kew Gardens,Northeastern Queens,Queens,2000.0,1.0,2
19,"30-59 Crescent Street, Apt 2R","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2600.0,1.0,1
20,"222 East 44th Street, Apt 26M","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,3460.0,1.0,0
21,"330 East 63rd Street, Apt 7E","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,5450.0,1.0,4
22,"21 West End Avenue, Apt 3413","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,3500.0,1.0,1
23,"340 West 86th Street, Apt 3F","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2345.0,1.0,1
24,"84-70 129th Street, Apt 5","Kew Gardens, Northeastern Queens, Queens",Kew Gardens,Northeastern Queens,Queens,2000.0,1.0,2
25,"30-59 Crescent Street, Apt 2R","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2600.0,1.0,1
26,"123 West 95th Street, Apt APT ...","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2245.0,1.0,1
27,"30-59 Crescent Street, Apt 2F","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2600.0,1.0,2
28,"418 Kent Avenue, Apt 25A","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,4015.0,1.0,1
29,"78 Hawthorne Street, Apt 3E","Prospect Lefferts Gardens, Flatbush, Central Brooklyn, Brooklyn",Prospect Lefferts Gardens,Flatbush,Brooklyn,1825.0,1.0,1
30,"1 Columbus Place, Apt N15J","Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2950.0,1.0,0
31,"219 East 81st Street, Apt 3B","Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2450.0,1.0,0
32,"227 East 83rd Street, Apt 4A","Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2200.0,1.0,0
33,"141 East 56th Street, Apt 3L","Midtown East, Midtown Manhattan, Manhattan",Midtown East,Midtown Manhattan,Manhattan,3775.0,1.0,1
34,"18-31 27th Avenue, Apt 2F","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1850.0,1.0,1
35,Eighth Avenue,"Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,2995.0,1.0,1
36,"72 Roebling Street, Apt 2A","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,5995.0,2.0,2
37,"31 West 94th Street, Apt 2B","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,3300.0,1.0,1
38,8 av / w 43,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,4390.0,2.0,2
39,"1443 York Avenue, Apt 3E","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2995.0,1.0,2
40,"72 Roebling Street, Apt 2A","Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,5995.0,2.0,2
